CODIGO_CURSO;CODIGO_CURRICULAR;CODIGO_DISCIPLINA;NOME_DISCIPLINA;CODIGO_DISCIPLINA;HORAS_DISCIPLIN;TIPO;SEMESTRE_IDEAL
14102100;1999;1411231;TECC (SEMINARIOS -  NOVAS TECNOLOGIAS);1;15;OPCIONAL;-1
14102100;1999;1411232;TECC(ORGANIZACAO INTERNA DO LINUX);4;60;OPCIONAL;-1
14102100;1999;1411233;TECC (SUPORTE A SISTEMAS);4;60;OPCIONAL;-1
14102100;1999;1411234;TECC (COMPUTA??O QUANTICA);4;60;OPCIONAL;-1
14102100;1999;1411235;TECC(DESENV.DE APLIC.CORPORAT.AVAN?ADAS);4;60;OPCIONAL;-1
14102100;1999;1411236;TECC (SISTEMAS DE APOIO A DECIS?O);4;60;OPCIONAL;-1
14102100;1999;1411237;TECC (COMPUTA??O PARALELA);2;30;OPCIONAL;-1
14102100;1999;1411238;SEMIN?RIOS (EDUCA??O AMBIENTAL);0;0;COMPLEMENTAR;-1
14102100;1999;1411239;SEMIN?RIOS (EDUCA??O ESPECIAL);0;0;COMPLEMENTAR;-1
14102100;1999;1411240;SEMINARIOS (DIREITOS HUMANOS);0;0;COMPLEMENTAR;-1
14102100;1999;1411241;TECC (PROJETO INTERFACES HOMEM-M?QUINA);4;60;OPCIONAL;-1
14102100;1999;1411242;TECC(SEGURANCA EM REDES DE COMPUTADORES);4;60;OPCIONAL;-1
14102100;1999;1411243;TECC(ALGORITMOS AVAN?ADOS I );2;30;OPCIONAL;-1
14102100;1999;1411244;TECC(ECONOMIA DE TECNOLOGIA DA INFORMA??;4;60;OPCIONAL;-1
14102100;1999;1411245;TECC(PROLOG E SIST BAS EM CONHECIMENTOS);2;30;OPCIONAL;-1
14102100;1999;1411246;TECC (INIC. ? PESQ. APL. EM INFORM?TICA);4;60;OPCIONAL;-1
14102100;1999;1411247;TECC(ALGORITMOS AVAN?ADOS II);2;30;OPCIONAL;-1
14102100;1999;1411248;TECC (SISTEMAS DE APOIO A DECIS?O II);4;60;OPCIONAL;-1
14102100;1999;1411249;TECC (METODOS FORMAIS);4;60;OPCIONAL;-1
14102100;1999;1411250;TECC(ALGORITMOS  AVAN?ADOS III );4;60;OPCIONAL;-1
14102100;1999;1411251;TECC(ALGORITMOS  AVAN?ADOS IV);2;30;OPCIONAL;-1
14102100;1999;1411254;TECC(PROCESSAMENTO DIGITAL DE IMAGEM);4;60;OPCIONAL;-1
14102100;1999;1411255;TECC(LAB DE SISTEMAS OPERACIONAIS);2;30;OPCIONAL;-1
14102100;1999;1411256;TEC(PRINCIPIOS DE ADMIN FINANCEIRA);4;60;OPCIONAL;-1
14102100;1999;1411257;TECC (INTRODU??O ? MEC?NICA QU?NTICA);2;30;OPCIONAL;-1
14102100;1999;1411258;TECC(ALGORITMOS AVAN?ADOS V);2;30;OPCIONAL;-1
14102100;1999;1411259;TECC (GRADES COMPUTACIONAIS);2;30;OPCIONAL;-1
14102100;1999;1411260;TECC (INTRODU??O ? COMPUTA??O QU?NTICA);2;30;OPCIONAL;-1
14102100;1999;1411261;TECC (REDA??O T?CNICO-CIENT?FICA);4;60;OPCIONAL;-1
14102100;1999;1411262;TECC (ARQUITETURA DE SIST. EMBUTIDOS);2;30;OPCIONAL;-1
14102100;1999;1411263;TECC(ALGORITMOS AVAN?ADOS VI);2;30;OPCIONAL;-1
14102100;1999;1411264;TECC(DESENVOLVIMENTO DIRIGIDO A MODELOS);4;60;OPCIONAL;-1
14102100;1999;1411265;TECC(REDES AD HOC SEM FIO);4;60;OPCIONAL;-1
14102100;1999;1411266;TECC(FUND E APLIC. DE REALIDADE VIRTUAL;4;60;OPCIONAL;-1
14102100;1999;1411267;TECC(SISTEMAS DE RECUP DA INFORMA??O);4;60;OPCIONAL;-1
14102100;1999;1411268;TECC(MODELAGEM DE AMBIENTES VIRTUAIS);4;60;OPCIONAL;-1
14102100;1999;1411269;TECC(MINERA??O DE DADOS);2;30;OPCIONAL;-1
14102100;1999;1411270;TECC (PROGRAMA??O III);4;60;OPCIONAL;-1
14102100;1999;1411271;TECC(INT.AO DES.DE SOFT.P/DISP.MOVEIS);4;60;OPCIONAL;-1
14102100;1999;1411272;TECC(FLUXO DE TRABALHO INFORMATIZADO);4;60;OPCIONAL;-1
14102100;1999;1411273;TECC (ARQUITETURA DE SOFTWARE);4;60;OPCIONAL;-1
14102100;1999;1411274;TECC(MET CIENT P/ PESQ EM C. DA COMPUT);4;60;OPCIONAL;-1
14102100;1999;1411275;TECC(SISTEMAS COOPERATIVOS);4;60;OPCIONAL;-1
14102100;1999;1411276;TECC(VISAO COMPUTACIONAL);4;60;OPCIONAL;-1
14102100;1999;1411277;ATIVIDADES COMPLEMENTARES;10;150;OPCIONAL;-1
14102100;1999;1411279;TECC(ESTAGIO INTEGRADO II);4;60;OPCIONAL;-1
14102100;1999;1411280;TECC(TECNOLOGIAS DE COMUNICACAO SEM FIO);4;60;OPCIONAL;-1
14102100;1999;1411281;TECC(EMPREENDEDORISMO EM SOFTWARE);4;60;OPCIONAL;-1
14102100;1999;1411282;TECC(ADMINISTRACAO DE SISTEMAS);4;60;OPCIONAL;-1
14102100;1999;1411283;TECC(FUNDAMENTOS DE PROG CONCORRENTE);4;60;OPCIONAL;-1
14102100;1999;1411284;TECC (PROGRAMA??O EM BANCO DE DADOS);4;60;OPCIONAL;-1
14102100;1999;1411285;TECC (DID?TICA EM CI?NCIA DA COMPUTA??O);2;30;OPCIONAL;-1
14102100;1999;1411286;TECC(METODOS E P T G M DADOS HISTORICOS);6;90;OPCIONAL;-1
14102100;1999;1411287;TECC(M E E DE P DE T EM G M DE D HIST II;6;90;OPCIONAL;-1
