CODE;MATRICULA;DISCIPLINA;CREDITO;HORAS;PERIODO;ID_CLASS;NOTA;SITUACAO;ESTADO
102210004;1411173;L?GICA MATEM?TICA;4;60;2002.2;1;7;APROVADO;NORMAL
102210004;1411174;INTRODU??O ? COMPUTA??O;4;60;2002.2;;5.8;APROVADO;DISPENSA
102210004;1411175;ORG.E ARQUITETURA DE COMPUTADORES I;4;60;2002.2;;7.9;APROVADO;DISPENSA
102210004;1411176;GER?NCIA DA INFORMA??O;4;60;2002.2;;8.3;APROVADO;DISPENSA
102210004;1411177;ENGENHARIA DE SOFTWARE I;4;60;2002.2;1;8.2;APROVADO;NORMAL
102210004;1411178;SISTEMAS DE INFORMA??O I;4;60;2002.2;;7;APROVADO;DISPENSA
102210004;1411179;LAB.DE ESTRUTURAS DE DADOS E ALGORITMOS;4;60;2002.2;;7.4;APROVADO;DISPENSA
102210004;1411180;LABORAT?RIO DE PROGRAMA??O I;4;60;2002.2;;8.6;APROVADO;DISPENSA
102210004;1411181;LABORAT?RIO DE PROGRAMA??O II;4;60;2002.2;;9.1;APROVADO;DISPENSA
102210004;1411182;LAB.DE ORG.E ARQUITETURA DE COMPUTADORES;4;60;2002.2;;7;APROVADO;DISPENSA
102210004;1411192;SISTEMAS OPERACIONAIS;4;60;2002.2;1;5.9;APROVADO;NORMAL
102210004;1411193;BANCO DE DADOS I;4;60;2002.2;1;7.2;APROVADO;NORMAL
102210004;1411195;SISTEMAS DE INFORMA??O II;4;60;2002.2;;7.2;APROVADO;DISPENSA
102210004;1411211;M?TODOS AVAN?ADOS DE PROGRAMA??O;4;60;2002.2;1;7;APROVADO;NORMAL
102210004;1411234;TECC (COMPUTA??O QUANTICA);4;60;2002.2;;7;APROVADO;DISPENSA
102210004;1411183;LABORAT?RIO DE ENGENHARIA DE SOFTWARE;2;30;2003.1;1;6;APROVADO;NORMAL
102210004;1411187;AN?LISE E T?CNICA DE ALGORITMOS;4;60;2003.1;1;4.3;REPROVADO_POR_NOTA;NORMAL
102210004;1411189;COMPILADORES;4;60;2003.1;1;7;APROVADO;NORMAL
102210004;1411190;REDES DE COMPUTADORES;4;60;2003.1;1;5.1;APROVADO;NORMAL
102210004;1411194;BANCO DE DADOS II;4;60;2003.1;1;7.6;APROVADO;NORMAL
102210004;1411210;MARKETING PARA INFORM?TICA;4;60;2003.1;1;8.5;APROVADO;NORMAL
102210004;1411184;LAB.DE INTERCON.DE REDES DE COMPUTADORES;2;30;2003.2;1;5.3;APROVADO;NORMAL
102210004;1411185;PROJETO EM COMPUTA??O I;4;60;2003.2;1;6.3;APROVADO;NORMAL
102210004;1411187;AN?LISE E T?CNICA DE ALGORITMOS;4;60;2003.2;1;5.3;APROVADO;NORMAL
102210004;1411191;INTERCONEX?O DE REDES DE COMPUTADORES;2;30;2003.2;1;5.3;APROVADO;NORMAL
102210004;1411203;EST?GIO INTEGRADO;10;300;2003.2;;8.5;APROVADO;NORMAL
102210004;1411244;TECC(ECONOMIA DE TECNOLOGIA DA INFORMA??;4;60;2003.2;1;6.7;APROVADO;NORMAL
102210004;1301014;ADMINISTRA??O;4;60;2004.1;;8.8;APROVADO;NORMAL
102210004;1303021;ECONOMIA;4;60;2004.1;2;9;APROVADO;NORMAL
102210004;1305033;SOCIOLOGIA INDUSTRIAL I;3;45;2004.1;3;7.2;APROVADO;NORMAL
102210004;1411186;PROJETO EM COMPUTA??O II;6;90;2004.1;1;8.1;APROVADO;NORMAL
